CompCode,POINT_X,POINT_Y
3,47308.8933,379137.906
,,
3,47366.5258,379156.3751
,,
3,47417.9163,379172.3755
,,
3,47474.1348,379190.9384
,,
3,47533.2011,379208.0326
,,
3,47567.6853,379219.7517
,,
3,47601.6109,379230.7831
,,
3,47630.3652,379240.8694
,,
3,47643.0724,379245.4311
,,
3,47650.5724,379247.306
,,
3,47653.1693,379248.0336
,,
3,47660.8059,379250.1898
,,
3,47677.3723,379255.1899
,,
3,47690.2825,379259.815
,,
3,47691.3666,379260.1595
,,
3,47692.0724,379260.431
,,
3,47695.5747,379261.497
,,
3,47712.9972,379267.034
,,
3,47741.3486,379276.4091
,,
3,47770.3304,379285.0388
,,
3,47781.0725,379288.431
,,
3,47791.875,379290.9239
,,
3,47804.8054,379294.2534
,,
3,47830.7546,379296.441
,,
3,47832.4968,379296.3867
,,
3,47833.0724,379296.431
,,
3,47859.0724,379296.431
,,
3,47888.0723,379296.4309
,,
3,47926.0723,379291.431
,,
3,47956.0724,379288.4309
,,
3,47988.0724,379284.431
,,
3,48011.0724,379278.4309
,,
3,48039.0723,379272.431
,,
3,48067.0723,379267.4309
,,
3,48078.0723,379264.4309
,,
3,48081.0722,379257.4309
,,
3,48084.0724,379241.4309
,,
3,48089.0722,379226.4308
,,
3,48098.0723,379215.4311
,,
3,48111.0723,379208.4309
,,
3,48131.0722,379203.4309
,,
3,48149.0723,379200.4309
,,
3,48164.487,379199.4674
,,
3,48169.169,379202.1314
,,
3,48174.126,379208.1627
,,
3,48181.4541,379215.8815
,,
3,48182.7171,379215.0757
,,
3,48184.0723,379216.4309
,,
3,48188.0722,379213.4309
,,
3,48198.0723,379206.4309
,,
3,48215.0723,379194.4308
,,
3,48235.0722,379181.431
,,
3,48261.0722,379162.431
,,
3,48283.0722,379147.431
,,
3,48289.0722,379143.4309
,,
3,48297.0722,379138.4309
,,
3,48318.0721,379129.4309
,,
3,48338.0721,379123.431
,,
3,48366.0721,379118.4309
,,
3,48408.0721,379115.431
,,
3,48443.072,379114.4309
,,
3,48475.072,379112.4308
,,
3,48508.072,379114.4309
,,
3,48537.0721,379113.4309
,,
3,48554.0721,379114.4308
,,
3,48559.3094,379114.4308
,,
3,48566.4269,379116.1972
,,
3,48571.6553,379117.506
,,
3,48577.0278,379119.1177
,,
3,48581.5481,379121.1348
,,
3,48586.548,379123.3847
,,
3,48593.0909,379126.3224
,,
3,48603.7432,379131.8537
,,
3,48605.3008,379132.0102
,,
3,48606.072,379132.4309
,,
3,48612.0721,379133.4308
,,
3,48619.3662,379136.1661
,,
3,48630.1923,379141.6351
,,
3,48636.0712,379144.8539
,,
3,48642.9735,379148.5728
,,
3,48644.8796,379149.321
,,
3,48645.072,379149.4308
,,
3,48646.2647,379149.8646
,,
3,48654.2,379152.9791
,,
3,48660.8328,379155.4166
,,
3,48670.2585,379158.1043
,,
3,48681.2467,379163.5418
,,
3,48686.6139,379166.5105
,,
3,48698.4107,379174.9794
,,
3,48709.0082,379183.6045
,,
3,48713.3715,379186.7607
,,
3,48718.9379,379192.3233
,,
3,48726.1058,379197.0733
,,
3,48732.2034,379201.1045
,,
3,48739.9807,379208.0734
,,
3,48747.5783,379213.5735
,,
3,48753.3713,379217.761
,,
3,48757.1681,379223.9485
,,
3,48761.8243,379230.4798
,,
3,48766.2617,379240.0736
